地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/12/31,11:01:07.7,宮城県北部,38°55.3′N,140°52.6′E,7 km,3.3,震度１
2024/12/31,01:33:07.8,奄美大島北西沖,28°07.0′N,128°02.2′E,12 km,4.2,震度１
2024/12/30,19:35:11.1,福島県会津,37°25.7′N,139°41.7′E,4 km,2.1,震度１
2024/12/30,18:34:14.4,鹿児島県薩摩地方,31°54.3′N,130°44.3′E,7 km,1.2,震度１
2024/12/30,18:20:53.9,奄美大島北西沖,28°07.3′N,128°07.8′E,17 km,4.4,震度２
2024/12/30,15:04:56.8,内浦湾,42°22.7′N,140°20.1′E,15 km,2.8,震度１
2024/12/30,10:16:06.5,石川県西方沖,36°55.6′N,136°21.9′E,13 km,3.2,震度１
2024/12/30,10:08:36.5,秋田県内陸南部,38°58.3′N,140°33.4′E,2 km,2.7,震度１
2024/12/29,14:19:53.3,津軽海峡,41°37.5′N,141°16.6′E,93 km,3.7,震度１
2024/12/29,04:36:23.4,石川県西方沖,37°01.8′N,136°25.2′E,10 km,4.2,震度２
2024/12/29,01:44:28.2,茨城県北部,36°46.7′N,140°33.5′E,7 km,3.7,震度２
2024/12/29,01:33:36.5,徳島県南部,33°48.2′N,134°19.9′E,14 km,3.9,震度３
2024/12/28,19:45:36.9,宮城県沖,38°55.2′N,141°56.1′E,50 km,3.6,震度１
2024/12/28,04:10:05.0,福島県沖,37°20.6′N,141°34.8′E,43 km,5.3,震度４
2024/12/28,02:22:42.2,和歌山県北部,33°54.1′N,135°11.5′E,8 km,2.8,震度１
2024/12/28,01:55:54.2,千葉県東方沖,35°25.9′N,140°28.4′E,56 km,4.2,震度２
2024/12/28,00:46:44.6,根室半島南東沖,42°59.2′N,146°52.7′E,50 km,4.3,震度１
2024/12/27,21:47:40.4,千島列島,46°20.2′N,151°28.4′E,210 km,6.8,震度２
2024/12/27,20:47:32.8,奄美大島北西沖,28°07.7′N,128°04.7′E,9 km,4.5,震度２
2024/12/27,19:14:15.6,山梨県東部・富士五湖,35°28.6′N,138°59.3′E,20 km,2.6,震度１
2024/12/27,04:52:11.5,茨城県沖,36°29.4′N,141°10.1′E,39 km,3.5,震度１
2024/12/26,22:17:54.0,奄美大島北西沖,28°06.8′N,128°05.2′E,7 km,4.1,震度１
2024/12/26,19:01:36.1,釧路地方中南部,43°07.1′N,144°57.9′E,71 km,3.5,震度２
2024/12/25,20:06:21.7,奄美大島北西沖,28°07.3′N,128°05.4′E,17 km,4.2,震度１
2024/12/25,16:32:29.4,岩手県内陸北部,39°32.2′N,141°01.0′E,11 km,2.5,震度１
2024/12/25,08:23:48.3,岐阜県美濃中西部,35°52.1′N,136°55.9′E,9 km,3.1,震度１
2024/12/24,23:18:15.0,長野県中部,36°07.2′N,137°51.0′E,4 km,2.8,震度２
2024/12/24,11:30:54.0,石川県能登地方,37°10.1′N,136°41.0′E,3 km,1.9,震度１
2024/12/24,07:11:57.9,石川県西方沖,36°56.7′N,136°25.3′E,12 km,4.4,震度３
2024/12/24,07:06:24.6,陸奥湾,41°02.6′N,141°03.9′E,10 km,3.1,震度１
