地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2005/08/16,20:07:08.3,宮城県沖,38°10.9′N,142°10.4′E,42 km,4.1,震度１
2005/08/16,19:42:00.4,宮城県沖,38°11.6′N,141°41.1′E,51 km,3.7,震度１
2005/08/16,18:42:54.1,宮城県沖,38°10.3′N,142°11.4′E,42 km,4.1,震度１
2005/08/16,17:44:18.1,宮古島近海,24°16.0′N,125°16.6′E,42 km,4.5,震度１
2005/08/16,14:55:16.2,宮城県沖,38°18.4′N,142°09.0′E,40 km,3.7,震度１
2005/08/16,14:06:50.1,宮城県沖,38°14.7′N,141°55.6′E,46 km,3.7,震度１
2005/08/16,13:55:20.7,宮城県沖,38°17.2′N,142°03.8′E,43 km,4.5,震度２
2005/08/16,12:31:52.0,宮城県沖,38°11.1′N,141°41.5′E,51 km,4.1,震度２
2005/08/16,12:16:12.3,宮城県沖,38°12.0′N,142°05.7′E,43 km,4.0,震度１
2005/08/16,11:59:27.3,宮城県沖,38°17.5′N,142°18.0′E,26 km,4.1,震度１
2005/08/16,11:52:05.7,宮城県沖,38°11.0′N,142°09.1′E,38 km,4.6,震度２
2005/08/16,11:46:25.7,宮城県沖,38°08.9′N,142°16.6′E,42 km,7.2,震度６弱
2005/08/16,11:24:37.5,福島県沖,37°43.5′N,142°07.0′E,34 km,4.3,震度１
2005/08/16,08:29:41.6,十勝地方南部,42°21.1′N,143°02.5′E,51 km,4.6,震度３
2005/08/16,02:17:09.0,岩手県沖,40°21.0′N,142°04.7′E,50 km,3.5,震度１
